associado_id,Frequency,Monetary,Recency,r_quartile,f_quartile,m_quartile,RFMScore,categoria
38156,7,648.3900000000001,5,1,2,1,121,Destaque
41972,7,924.4799999999999,5,1,2,1,121,Destaque
74106,7,967.198,3,1,2,1,121,Destaque
52890,7,240.54500000000002,23,2,2,2,222,Destaque
26263,7,725.57,27,3,2,1,321,Distante Fiel Valioso
20106,7,177.94399999999996,3,1,2,2,122,Destaque
40144,7,322.06,3,1,2,2,122,Destaque
59340,7,156.85000000000005,0,1,2,2,122,Destaque
10791,7,753.6099999999999,78,4,2,1,421,Distante Fiel Valioso
23711,7,427.68,2,1,2,2,122,Destaque
20627,7,420.85,1,1,2,2,122,Destaque
14221,7,111.82,11,2,2,3,223,Proximo Fiel Limitado
69590,7,147.6,15,2,2,3,223,Proximo Fiel Limitado
47342,7,174.439,11,2,2,2,222,Destaque
24568,7,135.22,6,1,2,3,123,Proximo Fiel Limitado
65700,7,512.28,0,1,2,1,121,Destaque
71743,7,111.60000000000001,6,1,2,3,123,Proximo Fiel Limitado
55499,7,234.44,4,1,2,2,122,Destaque
16019,7,184.61,25,3,2,2,322,Distante Fiel Valioso
89083,7,99.05,0,1,2,3,123,Proximo Fiel Limitado
34255,7,425.602,8,2,2,2,222,Destaque
52866,7,156.551,38,3,2,2,322,Distante Fiel Valioso
18426,7,534.68,31,3,2,1,321,Distante Fiel Valioso
64428,7,306.59299999999996,12,2,2,2,222,Destaque
25751,7,217.36599999999999,80,4,2,2,422,Distante Fiel Valioso
15300,7,153.23999999999998,6,1,2,2,122,Destaque
55107,7,510.5,11,2,2,1,221,Destaque
54913,7,404.351,3,1,2,2,122,Destaque
22409,7,445.48,45,3,2,2,322,Distante Fiel Valioso
8962,7,141.95000000000002,16,2,2,3,223,Proximo Fiel Limitado
8742,7,121.16999999999999,13,2,2,3,223,Proximo Fiel Limitado
17963,7,148.16000000000003,78,4,2,3,423,Distante Fiel Limitado
77710,7,400.85,5,1,2,2,122,Destaque
53539,7,142.98199999999997,20,2,2,3,223,Proximo Fiel Limitado
31948,7,1381.78,5,1,2,1,121,Destaque
86718,7,359.33,7,2,2,2,222,Destaque
82100,7,200.29999999999998,1,1,2,2,122,Destaque
5313,7,123.73600000000002,3,1,2,3,123,Proximo Fiel Limitado
3274,7,126.05599999999998,27,3,2,3,323,Distante Fiel Limitado
31425,7,924.537,37,3,2,1,321,Distante Fiel Valioso
67256,7,608.84,5,1,2,1,121,Destaque
65304,7,207.19,10,2,2,2,222,Destaque
64556,7,355.21,15,2,2,2,222,Destaque
74013,7,315.26,14,2,2,2,222,Destaque
26144,7,292.35,68,4,2,2,422,Distante Fiel Valioso
75204,7,476.86,0,1,2,2,122,Destaque
12541,7,862.5899999999999,6,1,2,1,121,Destaque
60478,7,218.98000000000002,19,2,2,2,222,Destaque
47076,7,361.45,57,3,2,2,322,Distante Fiel Valioso
13953,7,706.3299999999999,5,1,2,1,121,Destaque
78733,7,1583.83,4,1,2,1,121,Destaque
52282,7,175.56,0,1,2,2,122,Destaque
49044,7,425.14,5,1,2,2,122,Destaque
60185,7,163.654,15,2,2,2,222,Destaque
31788,7,426.14799999999997,18,2,2,2,222,Destaque
79381,7,64.55,3,1,2,3,123,Proximo Fiel Limitado
16517,7,451.2,34,3,2,2,322,Distante Fiel Valioso
40511,7,388.44,10,2,2,2,222,Destaque
52487,7,427.74,32,3,2,2,322,Distante Fiel Valioso
22260,7,896.832,9,2,2,1,221,Destaque
38373,7,446.52,27,3,2,2,322,Distante Fiel Valioso
35279,7,608.402,3,1,2,1,121,Destaque
49696,7,672.4499999999999,29,3,2,1,321,Distante Fiel Valioso
31892,7,412.97,40,3,2,2,322,Distante Fiel Valioso
85294,7,471.84,1,1,2,2,122,Destaque
19602,7,268.57,5,1,2,2,122,Destaque
43243,7,387.69,2,1,2,2,122,Destaque
7815,7,847.6600000000001,67,4,2,1,421,Distante Fiel Valioso
37788,7,1264.18,2,1,2,1,121,Destaque
65723,7,377.51,13,2,2,2,222,Destaque
46038,7,1384.2299999999998,17,2,2,1,221,Destaque
93091,7,180.53000000000003,5,1,2,2,122,Destaque
5371,7,915.936,3,1,2,1,121,Destaque
8861,7,156.98999999999998,4,1,2,2,122,Destaque
31883,7,998.9499999999999,3,1,2,1,121,Destaque
11094,7,173.25,94,4,2,2,422,Distante Fiel Valioso
3412,7,177.49,60,4,2,2,422,Distante Fiel Valioso
25842,7,132.06,13,2,2,3,223,Proximo Fiel Limitado
26449,7,309.846,39,3,2,2,322,Distante Fiel Valioso
52541,7,411.5,3,1,2,2,122,Destaque
25239,7,1050.4599999999998,18,2,2,1,221,Destaque
13188,7,549.9,35,3,2,1,321,Distante Fiel Valioso
23936,7,1285.5600000000002,4,1,2,1,121,Destaque
47912,7,551.184,19,2,2,1,221,Destaque
47607,7,387.40599999999995,37,3,2,2,322,Distante Fiel Valioso
52119,7,729.712,13,2,2,1,221,Destaque
49950,7,191.388,5,1,2,2,122,Destaque
32388,7,653.947,19,2,2,1,221,Destaque
23180,7,271.87,8,2,2,2,222,Destaque
45602,7,148.77,8,2,2,2,222,Destaque
46738,7,301.49,9,2,2,2,222,Destaque
21848,7,254.54399999999998,4,1,2,2,122,Destaque
56654,7,830.97,1,1,2,1,121,Destaque
36079,7,252.70999999999998,18,2,2,2,222,Destaque
14492,7,3831.8040000000005,21,2,2,1,221,Destaque
77034,7,178.977,17,2,2,2,222,Destaque
58332,7,398.32000000000005,3,1,2,2,122,Destaque
47651,7,177.02200000000002,3,1,2,2,122,Destaque
21815,7,213.52999999999997,29,3,2,2,322,Distante Fiel Valioso
61993,7,153.62,17,2,2,2,222,Destaque
35652,7,492.9200000000001,5,1,2,2,122,Destaque
39575,7,1071.356,4,1,2,1,121,Destaque
56604,7,1742.5100000000002,13,2,2,1,221,Destaque
13592,7,311.13,19,2,2,2,222,Destaque
65025,7,91.74,29,3,2,3,323,Distante Fiel Limitado
42793,7,294.83,62,4,2,2,422,Distante Fiel Valioso
45293,7,279.35,3,1,2,2,122,Destaque
54598,7,389.36,11,2,2,2,222,Destaque
42898,7,440.56,2,1,2,2,122,Destaque
67814,7,442.86,27,3,2,2,322,Distante Fiel Valioso
47412,7,359.17,5,1,2,2,122,Destaque
34206,7,580.2399999999999,11,2,2,1,221,Destaque
38877,7,196.60000000000005,11,2,2,2,222,Destaque
42971,7,581.486,12,2,2,1,221,Destaque
42127,7,242.76,6,1,2,2,122,Destaque
53572,7,211.17999999999998,13,2,2,2,222,Destaque
37902,7,211.78999999999996,5,1,2,2,122,Destaque
24020,7,707.6800000000001,18,2,2,1,221,Destaque
7453,7,3168.9080000000004,33,3,2,1,321,Distante Fiel Valioso
54997,7,306.63,7,2,2,2,222,Destaque
27891,7,457.91999999999996,15,2,2,2,222,Destaque
16959,7,177.48000000000002,2,1,2,2,122,Destaque
29714,7,214.81,27,3,2,2,322,Distante Fiel Valioso
31288,7,416.59000000000003,30,3,2,2,322,Distante Fiel Valioso
43855,7,212.27,53,3,2,2,322,Distante Fiel Valioso
3205,7,1407.224,36,3,2,1,321,Distante Fiel Valioso
15401,7,648.0959999999999,51,3,2,1,321,Distante Fiel Valioso
21456,7,970.0600000000001,0,1,2,1,121,Destaque
8176,7,115.27,21,2,2,3,223,Proximo Fiel Limitado
1926,7,2782.74,19,2,2,1,221,Destaque
49562,7,238.48,19,2,2,2,222,Destaque
78497,7,816.5,0,1,2,1,121,Destaque
30676,7,120.646,4,1,2,3,123,Proximo Fiel Limitado
69986,7,316.06,8,2,2,2,222,Destaque
61916,7,235.3,33,3,2,2,322,Distante Fiel Valioso
41941,7,339.4599999999999,22,2,2,2,222,Destaque
2042,7,197.10999999999999,1,1,2,2,122,Destaque
70143,7,368.82000000000005,0,1,2,2,122,Destaque
45550,7,326.75000000000006,16,2,2,2,222,Destaque
57544,7,602.61,6,1,2,1,121,Destaque
38043,7,195.80999999999997,54,3,2,2,322,Distante Fiel Valioso
7371,7,191.68,4,1,2,2,122,Destaque
32757,7,440.4200000000001,4,1,2,2,122,Destaque
4734,7,2630.7699999999995,8,2,2,1,221,Destaque
37354,7,516.2099999999999,3,1,2,1,121,Destaque
47381,7,115.16000000000003,34,3,2,3,323,Distante Fiel Limitado
12287,7,141.3,11,2,2,3,223,Proximo Fiel Limitado
